,permit,city,state,zip,district,date_issued,lat,lng
182,232.0,Nashville,TN,37204,25.0,02/27/2015,36.119305,-86.821748
183,149.0,Nashville,TN,37205,24.0,11/13/2014,36.157469,-86.837263
184,208.0,Nashville,TN,37115,9.0,02/28/2012,36.297567,-86.734171
185,222.0,Nashville,TN,37214,14.0,01/13/2015,36.163995,-86.627231
186,206.0,Nashville,TN,37027,34.0,03/17/2015,36.002450,-86.783709
187,152.0,Nashville,TN,37216,8.0,05/04/2012,36.176134,-86.681204
188,426.0,Nashville,TN,37206,6.0,04/28/2015,36.150950,-86.699624
189,252.0,Nashville,TN,37216,7.0,01/07/2015,36.216134,-86.691204
190,41.0,Nashville,TN,37215,25.0,12/04/2015,36.046316,-86.802959
191,168.0,Nashville,TN,37204,16.0,12/03/2014,36.104305,-86.776748
192,345.0,Nashville,TN,37216,,10/01/2014,36.176134,-86.751204
193,223.0,Nashville,TN,37206,6.0,07/05/2012,36.200950,-86.769624
194,317.0,Nashville,TN,37216,8.0,12/08/2014,36.241134,-86.761204
195,333.0,Nashville,TN,37212,18.0,12/10/2014,36.148256,-86.821456
